,dialog_id,speaker,Max Pitch,Mean Pitch,Sd Pitch,Max Intensity,Mean Intensity,Sd Intensity,Speaking Rate,Jitter,Shimmer,HNR
0,sw4733,A,599.544,54.334,98.937,83.971,47.317,12.662,12.621847050547684,0.01,0.074,15.31
1,sw3223,A,574.822,34.635,75.276,77.292,45.733,15.2,10.702577832377468,0.015,0.105,9.34
2,sw3691,B,596.874,70.514,106.463,78.148,53.44,11.827,10.66551472410306,0.013,0.088,8.26
3,sw4038,B,597.437,26.359,53.78,84.82,18.373,82.753,8.827982737575123,0.014,0.102,9.71
4,sw2104,B,598.148,29.476,70.964,77.184,28.843,23.712,7.9608033907324645,0.017,0.08,11.9
5,sw3902,B,584.52,47.864,93.752,80.614,45.513,14.279,7.164129161786849,0.012,0.078,13.72
6,sw2122,A,599.445,52.33,66.062,82.083,52.297,30.313,14.4523594772822,0.019,0.103,10.39
7,sw3104,B,599.863,32.231,77.816,77.349,37.062,13.036,8.5915997723315,0.014,0.095,12.32
8,sw4339,B,199.252,14.97,36.409,77.33,-114.894,173.343,7.8333880576012005,0.014,0.078,16.05
9,sw2839,A,595.994,55.893,96.841,80.911,46.902,14.78,9.576282654835676,0.016,0.07,13.85
10,sw2019,B,599.238,30.063,71.992,88.095,49.342,14.608,7.87813051802543,0.022,0.127,9.18
11,sw4905,A,590.693,13.673,53.751,85.621,36.467,10.982,4.431240412376659,0.014,0.086,12.82
12,sw4103,A,162.842,9.653,32.837,71.115,-120.98,169.401,8.413662264440838,0.013,0.088,14.21
13,sw4940,A,500.928,18.986,64.13,79.991,37.473,11.894,7.155575413629604,0.013,0.081,14.25
14,sw3435,B,588.44,25.679,51.265,78.861,5.422,101.836,8.728320999352716,0.016,0.09,11.08
15,sw2303,A,598.86,40.3,84.151,83.158,34.949,20.032,6.64790498693352,0.018,0.08,11.84
16,sw3797,A,588.487,16.815,43.574,81.291,42.982,13.662,5.0780490095456585,0.016,0.092,11.76
17,sw3047,A,598.535,25.707,51.615,77.345,42.739,13.614,10.068756555180048,0.022,0.093,10.08
18,sw2024,B,599.555,26.259,69.288,83.298,44.719,15.957,10.11218162834083,0.03,0.117,8.2
19,sw2061,B,594.963,15.62,47.486,79.227,34.141,15.763,7.399898462237304,0.022,0.112,11.21
20,sw3709,B,589.43,30.604,55.429,81.664,46.315,16.59,8.306779694983867,0.013,0.073,11.32
21,sw4341,B,551.399,42.304,88.748,84.851,-28.279,134.798,4.800218828599831,0.011,0.064,12.77
22,sw4728,B,598.208,45.746,76.647,83.365,25.29,83.102,10.49904736437477,0.019,0.111,13.06
23,sw2533,A,583.912,89.156,110.768,83.697,52.278,15.359,13.522944488638547,0.013,0.068,18.51
24,sw3181,B,596.267,49.974,96.549,82.974,47.251,10.939,8.912769069452143,0.011,0.068,14.88
25,sw3515,B,540.915,28.289,59.42,84.034,44.591,11.846,7.881954912404114,0.015,0.089,12.51
26,sw2181,B,596.999,21.623,56.132,83.405,-10.475,121.084,5.482311244837039,0.022,0.099,10.95
27,sw2768,B,596.978,38.771,80.85,86.86,42.937,21.183,10.049379642681734,0.011,0.076,14.13
28,sw3000,B,599.782,29.587,74.848,84.897,37.745,20.332,8.03795751667659,0.026,0.126,11.64
29,sw2362,A,597.624,20.677,48.438,85.044,42.992,13.066,8.980692262390368,0.018,0.11,11.26
30,sw4611,B,588.728,25.162,54.357,76.854,40.003,14.598,8.944710881064028,0.014,0.1,12.7
31,sw2301,B,599.315,15.36,48.217,81.203,38.456,21.975,10.739403956755663,0.018,0.103,9.43
32,sw3362,A,187.154,7.768,28.406,73.732,-22.683,117.992,4.947046174663889,0.014,0.107,10.26
33,sw3327,A,596.09,19.233,63.482,75.152,41.753,12.833,6.633524616155727,0.021,0.119,10.88
34,sw3574,B,597.346,37.993,80.605,81.831,42.782,19.797,7.904555837648461,0.022,0.109,10.63
35,sw4064,B,564.255,32.767,68.246,75.025,42.356,14.433,7.7672309269096536,0.014,0.063,14.75
36,sw3985,A,595.991,16.922,50.638,75.868,31.138,16.836,6.008287755143027,0.018,0.102,9.09
37,sw3688,B,596.465,11.726,42.921,71.422,38.749,11.069,6.558515718397905,0.016,0.093,12.76
38,sw3675,B,597.477,15.99,45.894,70.914,38.038,13.495,10.69767441860465,0.012,0.072,13.56
39,sw2616,A,599.164,6.345,33.27,80.934,37.613,13.096,3.50273786863542,0.017,0.097,10.04
40,sw4320,B,589.691,17.141,43.431,74.583,-49.759,146.836,6.090182839188421,0.016,0.081,12.04
41,sw4099,B,585.161,50.219,92.813,83.546,45.038,14.081,12.379725028545483,0.013,0.076,13.3
42,sw3158,B,506.933,35.43,83.7,76.408,41.327,11.749,7.68700701798987,0.009,0.06,14.22
43,sw4358,B,597.168,18.448,47.832,79.518,31.688,17.517,5.056243608680832,0.01,0.103,10.81
44,sw4082,A,588.71,15.986,53.128,79.011,40.698,15.236,7.199080453589121,0.023,0.115,10.27
45,sw2120,B,596.154,17.002,49.151,81.869,36.289,39.333,5.8750216112421025,0.018,0.098,11.79
46,sw2963,B,598.497,22.984,48.975,87.852,43.782,13.571,8.33645548357626,0.016,0.088,14.09
47,sw3926,B,599.4,58.674,105.55,79.285,43.784,14.567,10.068708060987602,0.011,0.072,16.16
48,sw2264,B,591.469,99.424,112.067,84.815,53.658,10.732,6.917457497567551,0.014,0.088,11.05
49,sw2221,B,599.717,34.947,90.437,75.413,46.324,8.567,9.608046551427348,0.031,0.155,6.54
50,sw4752,A,548.112,37.319,78.163,83.609,38.114,16.817,6.603150016357652,0.015,0.075,13.97
51,sw4774,B,562.406,58.201,94.459,74.481,10.507,99.808,10.502280056350441,0.01,0.067,17.0
52,sw2085,B,594.101,23.475,58.06,71.558,39.703,13.677,10.463227703614136,0.011,0.066,17.63
53,sw3883,B,587.531,72.191,100.376,88.386,55.25,15.209,9.501243059860165,0.016,0.067,15.57
54,sw3379,B,593.939,58.125,100.837,82.891,47.041,16.496,9.006050940475632,0.014,0.078,13.11
55,sw3773,A,598.002,19.433,59.194,76.515,39.091,15.149,7.756327353869453,0.019,0.122,11.8
56,sw2773,A,594.059,18.236,58.569,83.776,-53.744,144.815,4.644607672975186,0.017,0.092,11.3
57,sw2858,A,596.068,25.963,67.65,80.952,38.79,22.947,6.225933597041632,0.011,0.073,15.16
58,sw2078,B,598.236,56.117,95.441,81.823,42.361,15.079,8.772998863099481,0.015,0.068,15.96
59,sw3691,A,599.193,83.05,124.483,90.672,51.81,18.393,8.066946615498987,0.015,0.061,16.17
60,sw4733,B,598.391,32.066,79.501,80.27,34.56,18.239,5.885505644323854,0.015,0.075,11.32
61,sw3223,B,598.02,44.561,100.098,83.338,43.294,16.271,6.2225842419063015,0.014,0.077,12.77
62,sw4038,A,598.718,16.492,69.363,72.703,-25.462,127.887,7.193788728730465,0.025,0.125,13.31
63,sw3104,A,596.881,43.278,82.678,79.041,44.29,13.872,7.593248763590081,0.013,0.075,13.28
64,sw3902,A,599.636,44.553,74.221,83.038,49.397,14.061,10.081980926886397,0.016,0.085,14.09
65,sw2122,B,441.612,10.945,46.006,90.985,45.056,9.82,4.091260080844729,0.012,0.092,10.03
66,sw2104,A,594.53,48.61,87.288,75.936,40.954,16.103,4.746380414596061,0.011,0.116,9.51
67,sw4339,A,599.378,23.358,92.784,72.854,16.708,76.94,7.91379922671259,0.037,0.173,10.86
68,sw2019,A,599.203,24.69,53.373,80.103,46.318,12.831,7.06078306236281,0.016,0.108,10.36
69,sw2839,B,535.182,21.247,46.392,88.464,44.703,13.74,9.322688503050214,0.015,0.083,11.94
70,sw3435,A,591.961,23.165,54.486,81.35,-12.539,119.473,7.170168894345943,0.017,0.1,11.08
71,sw4103,B,222.215,12.418,32.458,80.156,33.418,16.587,6.312751758552276,0.017,0.114,11.42
72,sw4940,B,559.608,12.532,37.118,75.9,32.243,16.41,8.646042426627009,0.017,0.093,11.22
73,sw4905,B,599.285,15.472,47.586,75.722,25.322,64.332,13.082709788921564,0.019,0.134,9.73
74,sw3797,B,599.694,38.527,58.265,76.868,48.829,14.583,10.743058769864428,0.015,0.083,14.14
75,sw2303,B,598.307,32.786,72.562,86.473,20.328,80.742,11.147717149818975,0.019,0.114,12.59
76,sw2061,A,589.207,47.946,67.719,82.716,9.197,115.543,12.573648278534115,0.018,0.093,10.1
77,sw3047,B,579.889,12.259,36.329,80.541,36.258,11.752,4.74581162146714,0.017,0.11,9.03
78,sw2024,A,576.089,18.177,59.175,88.505,37.514,12.767,4.797533686653503,0.015,0.082,11.59
79,sw3709,A,438.669,38.324,65.097,72.07,46.613,11.339,6.957387255589624,0.01,0.082,13.42
80,sw4341,A,598.982,21.284,52.467,74.226,41.514,17.919,9.150104410597175,0.02,0.099,6.52
81,sw4728,A,594.549,31.777,65.483,74.899,46.245,13.985,7.85840826286058,0.016,0.101,10.27
82,sw2181,A,577.32,51.021,82.879,84.881,45.991,19.022,12.382636862952385,0.015,0.094,10.03
83,sw3515,A,549.629,23.224,72.307,78.943,30.622,16.05,7.295749170937595,0.011,0.071,14.96
84,sw2533,B,595.615,40.135,91.433,84.469,32.8,19.424,6.763977421141918,0.018,0.091,14.22
85,sw3181,A,428.277,43.65,85.261,78.871,42.486,15.064,6.58857001649647,0.011,0.071,13.77
86,sw2768,A,538.492,26.83,64.285,82.396,41.885,18.028,7.8277675449613575,0.013,0.078,10.92
87,sw3000,A,597.485,87.444,104.318,76.669,49.563,15.253,8.770908742559794,0.017,0.066,13.0
88,sw3327,B,582.3,29.487,56.366,80.281,40.907,33.181,12.157199701312384,0.018,0.095,11.58
89,sw2301,A,561.764,23.483,67.451,76.788,37.156,11.219,6.5819432966217475,0.011,0.108,10.34
90,sw3362,B,599.345,42.773,83.094,75.459,38.915,17.429,8.460554256737293,0.014,0.07,13.17
91,sw2362,B,597.769,45.214,80.367,70.23,38.637,12.162,8.32169663845498,0.018,0.086,12.7
92,sw4611,A,591.739,17.354,45.725,73.089,-123.47,172.733,8.144289325711542,0.017,0.1,9.3
93,sw3985,B,560.419,35.655,60.237,79.641,45.91,14.647,11.799005201603995,0.012,0.078,11.56
94,sw3574,A,558.397,16.678,42.753,76.969,40.803,12.027,6.213114863914362,0.014,0.111,10.51
95,sw4064,A,597.814,25.102,60.249,84.424,37.06,19.609,6.983474119278408,0.018,0.1,9.59
96,sw3688,A,596.025,19.733,45.242,74.253,40.543,15.104,8.735782647316151,0.018,0.1,9.87
97,sw4320,A,596.304,31.252,53.542,75.435,45.547,18.285,10.779824180231975,0.016,0.093,8.28
98,sw3675,A,546.969,7.314,33.283,72.146,10.058,80.077,4.306508281746695,0.013,0.08,14.61
99,sw2616,B,597.629,51.796,67.455,82.683,50.07,27.193,13.91108460817087,0.017,0.101,10.76
100,sw4099,A,197.999,10.258,31.292,81.779,33.04,14.864,5.999559297814518,0.022,0.085,11.9
101,sw3158,A,599.744,54.45,99.65,79.315,46.744,11.738,9.289303084838064,0.01,0.062,15.31
102,sw4358,A,590.22,29.941,64.935,88.688,40.512,14.769,10.0757266888121,0.011,0.114,11.2
103,sw3926,A,587.69,26.705,59.199,77.237,-9.758,116.545,7.489646959651576,0.018,0.096,9.38
104,sw4082,B,587.974,22.193,51.423,79.114,3.796,102.415,9.780263361318553,0.02,0.103,12.13
105,sw2120,A,549.712,47.341,91.937,87.708,-27.96,140.88,8.439120026318106,0.018,0.095,14.02
106,sw2963,A,581.098,29.484,73.041,80.952,46.011,12.051,8.985593721862452,0.013,0.096,14.7
107,sw4774,A,530.981,34.401,86.388,80.566,43.779,11.589,5.998918392009455,0.012,0.076,13.57
108,sw2221,A,599.384,45.882,92.76,73.764,39.585,12.758,7.675767191180204,0.018,0.101,11.65
109,sw4752,B,551.884,15.268,40.929,75.866,15.065,86.335,10.382101390734226,0.014,0.106,10.44
110,sw2264,A,597.226,93.146,112.615,89.889,55.98,24.516,13.511521885214613,0.016,0.076,11.53
111,sw3883,A,592.043,27.252,79.458,78.671,29.283,16.697,5.205521451947239,0.01,0.082,14.72
112,sw2085,A,598.204,16.07,58.001,86.755,39.013,12.319,4.9524944633128225,0.016,0.117,8.96
113,sw3379,A,599.556,29.581,65.971,80.236,44.45,15.653,7.464836865840665,0.02,0.094,13.5
114,sw2773,B,599.137,37.952,64.066,87.658,49.046,15.083,10.311515016870548,0.023,0.093,12.18
115,sw3773,B,598.419,15.606,51.613,71.603,40.928,11.328,9.635938431848183,0.018,0.11,11.37
116,sw2078,A,599.289,37.542,88.489,87.47,46.049,13.069,8.380676363988467,0.015,0.119,9.32
117,sw2858,B,594.468,44.791,87.313,87.126,42.251,15.167,8.421784214892565,0.011,0.069,14.09
118,sw3657,B,596.137,35.219,57.03,82.902,47.61,14.45,9.59934619944936,0.019,0.091,14.1
119,sw4796,B,596.355,25.543,56.961,79.591,40.466,16.019,10.456533170040135,0.014,0.112,12.5
120,sw3556,B,584.267,33.606,57.299,86.79,48.72,13.195,8.950524235420227,0.019,0.096,13.08
121,sw2570,A,594.83,55.966,97.573,88.546,46.155,16.982,9.121108086997042,0.015,0.072,13.76
122,sw3570,A,589.733,60.2,95.854,81.061,48.739,13.038,10.38196794927648,0.016,0.079,14.13
123,sw4060,A,543.432,21.349,46.755,76.547,24.433,77.667,9.240171059917671,0.016,0.09,11.66
124,sw4138,A,599.844,9.665,37.077,77.099,4.338,96.151,6.678732910792164,0.017,0.126,9.43
125,sw4633,B,580.499,19.451,46.749,75.232,36.054,15.218,8.350485742827836,0.014,0.096,12.8
126,sw3791,A,578.299,19.297,46.744,72.614,41.7,13.67,9.7937627435906,0.014,0.096,9.88
127,sw2366,B,596.853,22.744,48.113,82.396,22.352,67.003,8.40951354127034,0.015,0.096,10.83
128,sw4615,A,534.994,15.413,55.713,74.542,34.452,14.94,10.632819970977081,0.01,0.084,11.8
129,sw2041,A,597.574,32.953,69.616,84.932,40.096,19.342,10.02969317057077,0.016,0.1,8.41
130,sw2847,A,599.994,69.82,111.419,79.369,-25.831,135.475,7.768357751648691,0.013,0.069,15.49
131,sw3802,A,597.776,29.759,65.881,81.238,46.407,13.711,8.40296717214021,0.018,0.114,10.8
132,sw2022,B,599.576,32.233,79.13,81.813,40.662,14.306,7.712091976748844,0.011,0.075,13.77
133,sw3847,A,598.731,36.303,79.496,76.552,35.68,17.644,7.208151654970253,0.013,0.07,15.69
134,sw2067,B,570.606,89.378,118.414,77.069,47.36,17.354,9.844950873577144,0.013,0.079,11.95
135,sw3751,A,571.858,45.787,85.467,84.869,44.947,14.311,8.324987060476309,0.013,0.07,13.11
136,sw3777,B,589.156,20.176,46.783,71.585,44.162,11.994,9.358244135656145,0.016,0.092,10.85
137,sw2039,A,593.178,14.721,49.502,81.901,7.435,98.665,8.640329070439867,0.022,0.124,9.65
138,sw3081,A,597.273,40.296,80.44,80.766,43.151,14.149,6.642458348655442,0.012,0.078,14.96
139,sw3887,A,595.863,28.041,60.049,80.487,46.413,12.051,6.4917618769352705,0.018,0.087,13.32
140,sw2450,A,593.669,71.772,110.548,89.208,51.715,16.029,9.980783354730427,0.014,0.08,17.29
141,sw4123,B,596.053,27.992,65.553,77.982,41.956,18.013,7.84101526527704,0.02,0.109,9.7
142,sw3433,B,599.936,76.33,109.102,86.336,54.588,15.597,11.290787173183459,0.014,0.074,13.09
143,sw4166,B,555.45,14.221,39.8,73.426,-120.152,173.02,9.449937000419997,0.016,0.098,11.92
144,sw4628,A,485.84,17.831,46.535,80.788,-173.94,168.474,4.988731885754027,0.014,0.092,14.79
145,sw4735,A,584.195,27.662,68.372,76.145,30.861,54.332,10.506972291584379,0.01,0.075,12.57
146,sw2260,A,597.701,50.414,76.929,88.976,50.56,13.872,7.928013037072504,0.013,0.078,13.17
147,sw2102,B,593.444,28.031,61.711,81.407,7.446,98.32,6.9682011064285865,0.015,0.08,8.9
148,sw2124,A,596.973,66.375,102.484,89.072,45.814,17.695,11.077434087606393,0.01,0.067,19.05
149,sw4880,B,595.885,11.443,38.852,80.364,-50.748,146.325,5.3293697819377215,0.021,0.102,10.21
150,sw2788,A,554.941,29.401,66.776,81.546,38.831,13.057,7.868791240301548,0.014,0.081,9.57
151,sw4927,A,569.656,18.703,64.538,82.59,38.603,11.072,4.656581323986598,0.011,0.072,13.74
152,sw3431,A,587.693,16.219,42.353,73.214,37.247,15.196,8.97254628667922,0.016,0.084,13.38
153,sw3489,A,588.74,19.868,48.942,75.053,38.209,15.2,7.079403120962397,0.019,0.094,12.52
154,sw4548,A,572.471,17.526,53.023,77.381,42.509,13.475,9.438998511914692,0.019,0.119,10.62
155,sw2716,B,599.366,35.065,70.185,85.8,38.121,23.501,9.748173571831313,0.019,0.112,12.31
156,sw3716,B,597.435,50.804,91.519,82.201,48.195,17.201,9.418339888221901,0.017,0.081,10.6
157,sw2163,B,437.603,13.482,54.687,87.114,39.553,13.537,8.66342732571606,0.01,0.063,5.99
158,sw2965,B,596.423,17.639,48.259,75.282,31.792,14.324,4.68237958630734,0.02,0.1,10.77
159,sw3965,B,513.118,29.886,78.801,71.343,33.753,16.026,6.115399291724964,0.014,0.069,13.65
160,sw2145,A,456.679,22.093,58.294,88.016,40.06,13.317,4.730970515915892,0.01,0.071,17.58
161,sw4378,A,599.381,30.088,64.435,79.763,25.85,78.323,10.20792805648858,0.017,0.108,8.7
162,sw2227,B,597.62,59.678,95.519,87.768,49.772,15.213,5.798333555477906,0.015,0.087,12.93
163,sw2244,A,576.047,16.675,55.335,88.563,33.054,14.364,5.376003382977771,0.016,0.097,11.49
164,sw4859,B,591.458,15.565,39.47,83.748,38.035,16.278,7.678310771630242,0.018,0.12,8.94
165,sw4079,A,575.275,13.137,37.466,75.539,29.846,44.08,6.296051357074624,0.012,0.105,11.88
166,sw3569,A,503.994,10.187,35.944,68.77,29.585,14.439,4.571024376572332,0.012,0.076,14.24
167,sw4821,B,598.356,39.676,74.716,79.217,39.785,18.412,9.90724703585066,0.013,0.066,16.57
168,sw3983,A,467.198,36.886,84.765,77.531,38.634,15.527,6.581547551262384,0.017,0.077,12.79
169,sw3554,A,593.776,55.853,95.274,86.448,45.805,19.42,8.881202625223283,0.013,0.073,14.48
170,sw2178,A,599.998,78.977,128.365,88.004,50.502,12.38,6.928178836959467,0.013,0.066,16.57
171,sw2610,A,599.847,44.084,74.683,82.33,47.298,15.553,9.013155639978391,0.017,0.096,13.13
172,sw3845,B,595.206,56.416,97.87,85.494,49.494,13.516,8.700529510353164,0.014,0.082,12.22
173,sw2065,A,590.464,51.061,91.577,84.116,45.912,15.302,9.356812945287622,0.013,0.079,13.64
174,sw2020,A,596.918,41.368,81.22,77.845,39.329,13.026,4.535928645060561,0.016,0.089,12.28
175,sw2006,B,595.906,40.93,92.032,90.875,41.309,15.063,6.066427770483467,0.014,0.077,13.24
176,sw3020,A,588.813,71.892,107.731,77.699,41.26,17.153,11.495474417318977,0.016,0.081,15.98
177,sw2800,B,533.743,32.062,78.002,81.305,45.426,12.9,4.85628426081652,0.017,0.077,13.46
178,sw4617,B,596.799,21.47,52.672,85.719,37.561,47.813,8.467598883481823,0.014,0.1,11.55
179,sw3342,B,598.005,19.419,44.341,75.855,-29.394,135.014,7.114100253883615,0.016,0.093,13.38
180,sw2342,B,598.385,44.061,72.402,78.219,43.506,16.295,12.588733387242785,0.019,0.113,9.43
181,sw3657,A,575.105,18.669,47.872,75.413,38.643,13.769,6.223163028114763,0.019,0.097,12.89
182,sw4796,A,598.293,13.086,44.684,78.49,39.002,12.519,4.739052588840596,0.013,0.106,11.22
183,sw3570,B,592.192,25.596,54.397,85.638,44.831,15.861,6.88668306512691,0.018,0.101,12.84
184,sw4060,B,478.244,18.392,56.478,73.478,38.681,12.371,5.971085269766293,0.013,0.071,14.17
185,sw2570,B,596.951,71.413,97.176,80.052,45.263,11.667,7.704786955475762,0.012,0.078,12.39
186,sw3556,A,568.516,23.137,48.86,71.317,47.621,10.078,10.28707332596389,0.013,0.094,9.67
187,sw4138,B,588.591,23.296,54.231,79.072,40.993,14.628,8.615565454921892,0.012,0.091,12.39
188,sw2366,A,592.483,8.044,26.716,82.188,36.983,13.921,7.228088519432581,0.014,0.096,12.91
189,sw4615,B,205.618,9.981,31.287,73.544,-181.266,164.581,5.252880557988992,0.014,0.079,17.01
190,sw3791,B,581.237,29.742,72.657,81.055,55.104,6.043,4.95704783233613,0.017,0.09,12.16
191,sw4633,A,466.315,21.845,68.759,78.206,37.2,12.716,8.058838910380617,0.009,0.062,16.75
192,sw3847,B,385.922,36.801,78.084,72.579,42.535,13.035,8.750609304157958,0.009,0.075,14.53
193,sw2067,A,594.734,58.655,107.883,88.726,-48.794,154.202,7.461395048811762,0.013,0.083,12.49
194,sw3802,B,597.432,32.021,55.157,81.069,50.147,15.272,10.245723130942888,0.018,0.081,10.29
195,sw2022,A,593.312,46.962,95.457,83.295,45.533,13.209,10.308990059080188,0.013,0.087,13.45
196,sw2847,B,597.316,63.853,106.202,88.4,48.482,16.982,9.435509071497679,0.012,0.07,14.82
197,sw2041,B,579.029,50.351,99.71,87.997,47.709,14.239,7.8329832239850665,0.016,0.091,12.38
198,sw3777,A,578.64,43.603,97.164,78.733,42.82,14.434,6.720708328603576,0.012,0.08,12.83
199,sw3751,B,437.434,21.659,56.355,82.33,39.734,14.059,8.469506415987201,0.013,0.077,14.76
200,sw2039,B,599.818,28.711,70.306,87.645,40.498,15.092,5.2365016398278215,0.013,0.074,15.59
201,sw4166,A,336.416,49.952,84.655,76.913,44.456,15.207,7.649949000339998,0.009,0.06,16.95
202,sw2450,B,595.635,32.045,58.765,87.721,48.439,15.175,7.206726950986109,0.015,0.068,11.02
203,sw4123,A,599.924,21.13,47.696,75.411,35.16,16.892,8.3754007891429,0.011,0.077,14.83
204,sw3433,A,590.173,30.198,76.924,80.459,42.987,12.206,5.760947474896336,0.015,0.084,13.04
205,sw3887,B,553.106,28.016,53.916,76.026,-8.88,119.535,9.198621718016403,0.016,0.087,9.89
206,sw3081,B,597.801,78.347,106.518,75.382,46.788,13.152,7.07697004875199,0.013,0.07,14.23
207,sw4628,B,569.643,12.832,39.264,71.368,37.786,14.302,9.873810495061422,0.012,0.084,17.09
208,sw2260,B,597.507,63.707,108.934,87.266,52.222,15.316,8.982618456958447,0.016,0.08,12.69
209,sw4735,B,596.153,6.584,27.485,70.121,10.817,77.833,4.535504127141394,0.014,0.099,10.21
